,adversary,target,technique,publish date,motive,interesting_insight
192,Unknown,Robinhood,Social engineering cyberattack,November 2021,Ransom,"The hacker gained access to personal information of around 7 million customers, including names, email addresses, and for some, data of birth, and zip codes."
193,A Chinese-linked hacking group,telecommunication carriers across the globe,cyberattacks,October 2021,gained access to calling records and text messages,The group began its cyberattacks in 2016 and infiltrated at least 13 telecommunications networks
194,Unknown,Government-issued electronic cards Iranians use to buy subsidized fuel and electronic billboards,Cyberattack,October 2021,Display anti-regime messages against the Supreme Leader Ayatollah Ali Khamenei,The attack altered the text of electronic billboards
195,A group with ties to Iran,Over 250 Office 365 accounts,Hacking,October 2021,"Targeted accounts were either U.S. and Israeli defense technology companies, had a focus on Persian Gulf ports of entry, or maritime transportation companies with a presence in the Middle East",
196,Brazilian hackers,National Malware Center website belonging to Indonesia’s State Cyber and Password Agency,edited the contents of the webpage,October 2021,retribution for an Indonesian hack on the Brazilian state website,
197,Unknown,Israeli Defense Ministry,Unknown,October 2021,Unknown,Hackers leaked data and photos
198,Russian Foreign Intelligence Service (SVR),"resellers and other technology service providers that customize, deploy and manage cloud services",campaign,October 2021,Unknown,An American company announced the attack
199,Chinese state-linked hackers,Afghan telecom provider Roshan,stole gigabytes of data from their corporate mail server,September 2021,Unknown,Unknown
200,Russia,Elections and political systems of several EU member states,Hacking social media accounts of government officials and news websites,September 2021,Creating distrust in U.S. and NATO forces,The EU formally blamed Russia for its involvement in the 'Ghostwriter’ cybercampaign
201,Unknown,Voicenter,Unknown,September 2021,Unknown,"Hackers obtained 15 TB of data from 8,000 organizations working with Voicenter and offered the data online for $1.5 million. Some experts have stipulated the hackers have ties to Iran, but no link has been confirmed."
202,Chinese government,5G smartphone models,Embedding a module in the phones that detects and censors keywords,September 2021,Censorship of keywords that are counter to the message of the Chinese government,The Lithuanian Defense Ministry found hidden features in popular 5G smartphone models manufactured in China
203,Unknown,polling systems in electoral districts nationwide,cyberattack,September 2021,disrupt Hungary’s opposition primary elections,The cyberattack led to the government extending voting by two days
204,North Korean cybercriminals,"banks, professional soccer clubs, and other unnamed companies in the U.S. and U.K.","ATM cash-out operations, cyber-enabled bank heists, and business email compromise (BEC) schemes",September 2021,money laundering,Ghaleb Alaumary was sentenced to more than 11 years in prison for aiding these cybercriminals
205,Unknown,United Nations,Stolen user credentials purchased on the dark web,April 2021,Long-term intelligence gathering,The hacker was able to access the UN network
206,bad actors sponsored by and operating from China,private and state IT infrastructure of Norway,cyberattacks,September 2021,capture classified information relating to Norway’s national defense and security intelligence,The Norwegian Government stated a series of cyberattacks against private and state IT infrastructure came from bad actors sponsored by and operating from China
207,Unknown,Kurdish ethnic group,Persuading individuals on Facebook to download apps that contain Android backdoors,September 2021,Espionage,The attack was carried out through social media and involved the use of malicious apps
208,Chinese bots,networks of the Australian,swarmed,April 2020,,
209,Unknown,Australia,Bots looking for potential vulnerabilities,Unknown,Australia's call for an independent international probe into the origins of the coronavirus,The attack was potentially a preparation for future cyberattacks
210,Unknown,Government of Belarus,Cyberattack,August 2021,Overthrow President Alexander Lukashenko’s regime,The attack compromised dozens of police and interior ministry databases
211,Unknown,a high-profile Iranian prison,Unknown,August 2021,demanding the release of political prisoners,"uncovered documents, videos, and images that displayed the violent treatment of its prisoners"
212,A cyber-espionage group linked to one of Russia’s intelligence forces,the Slovak government,spear-fishing attempts,February to July 2021,Unknown,Unknown
213,Russia,"""smart voting"" app created by Kremlin critic Alexei Navalny and his allies",blocked content,August 2021,to prevent organized voting against the Kremlin in next month's parliamentary elections,
214,Chinese operatives,Israel’s government and tech companies,cyberattack,August 2021,Unknown,Hacks initially attributed to Iran in 2019 and 2020 were found to be conducted by Chinese operatives
215,Unknown,Covid-19 vaccine-scheduling website for the Italian region of Lazio,Cyberattack,August 2021,Unknown,"The attack forced the website to temporarily shut down, preventing new vaccination appointments from being scheduled for several days."
216,Various Chinese cyber-espionage groups,five major Southeast Asian telecommunication providers,Unknown,August 2021,Espionage,The attacks were carried out by three different hacking groups and are seemingly unlinked despite all groups having a connection to Chinese espionage efforts.
217,Four Chinese nationals,"companies, universities, and government entities in the United States and abroad",The campaign focused on information,July 2021,economic benefit to China’s commercial sectors,The hacking activity took place between 2011 and 2018
218,Tallinn-based hacker,Estonia government database,Exploiting a vulnerability,July 2021,Unknown,"The hacker downloaded 286,438 ID photos"
219,Unknown,Saudi Arabian Oil Company,zero-day exploitation,July 2021,Ransom of $50 million in cryptocurrency,Hackers gained access to 1 terabyte of data
220,Chinese entities,users in Southeast Asia,APT operation,July 2021,Unknown,"Researchers found a total of 100 victims in Myanmar and 1,400 in the Philippines, including many government entities."
